Text	Intents	States	Slots
i want to make a restaurant reservation for 7 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-time I-time 	1
the reservation is for 2 at evvia	O	INFORM	O O O O B-num_people O B-restaurant_name 	0
yes , 2 at evvia	O	AFFIRM	O O B-num_people O B-restaurant_name 	0
next monday	O	INFORM	B-date I-date 	0
yes , next monday	O	AFFIRM	O O B-date I-date 	0
yes , make the reservation for 7.15 pm	O	AFFIRM	O O O O O O B-time I-time 	0
thanks	O	THANK_YOU	O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
i need a reservation for 4 at amber india	O	INFORM	O O O O O B-num_people O B-restaurant_name I-restaurant_name 	0
hello , i ' d like to make a reservation at a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O O 	1
the reservation is for 3 people	O	INFORM	O O O O B-num_people O 	0
yes that is correct	O	AFFIRM	O O O O 	0
the restaurant is evvia and i don ' t care what time the reservation is for	O	INFORM	O O O B-restaurant_name O O O O O O O O O O O O 	0
yes , that is correct	O	AFFIRM	O O O O O 	0
for tomorrow	O	INFORM	O B-date 	0
no , those times do not work for me	O	NEGATE	O O O O O O O O O 	0
bye	O	GOOD_BYE	O 	0
find restaurant located in the los altos	FIND_RESTAURANT	O	O O O O O B-location I-location 	1
the food type is taiwanese and the price range is expensive	O	INFORM	O O O O B-category O O O O O B-price_range 	0
yes , i agree , price range is expensive	O	AFFIRM	O O O O O O O O B-price_range 	0
yes the restaurant i am looking for is cetrella	O	AFFIRM	O O O O O O O O B-restaurant_name 	0
i want to make a reservation	RESERVE_RESTAURANT	O	O O O O O O 	1
il fornaio for 3 people	O	INFORM	B-restaurant_name I-restaurant_name O B-num_people O 	0
7.30 pm	O	INFORM	B-time I-time 	0
friday	O	INFORM	B-date 	0
yes	O	AFFIRM	O 	0
goodbye	O	GOOD_BYE	O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
4	O	INFORM	B-num_people 	0
cetrella , please	O	INFORM	B-restaurant_name O O 	0
any time is fine	O	INFORM	O O O O 	0
on friday	O	INFORM	O B-date 	0
those times won ' t work for us	O	NEGATE	O O O O O O O O 	0
nope	O	INFORM	O 	0
those times won ' t work for us either	O	NEGATE	O O O O O O O O O 	0
yes , that sounds fine	O	AFFIRM	O O O O O 	0
thank you	O	THANK_YOU	O O 	0
i ' d like to make a reservation at a restaurant	RESERVE_RESTAURANT	O	O O O O O O O O O O O 	1
it ' s a place called oren hummus	O	INFORM	O O O O O O B-restaurant_name I-restaurant_name 	0
the time doesn ' t matter	O	INFORM	O O O O O O 	0
no . i don ' t have a preference	O	NEGATE+INFORM	O O O O O O O O O 	0
i ' d like to go tonight with 4 people	O	INFORM	O O O O O O B-date O B-num_people O 	0
i don ' t like those times	O	NEGATE	O O O O O O O 	0
ok . bye	O	GOOD_BYE	O O O 	0
hi ! i want a reservation for 4 people at a restaurant on wednesday , 5.30 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O B-num_people O O O O O B-date O B-time I-time 	1
the name of the restaurant is oren hummus	O	INFORM	O O O O O O B-restaurant_name I-restaurant_name 	0
7.30 pm won ' t work for me	O	NEGATE	B-time I-time O O O O O O 	0
goodbye	O	GOOD_BYE	O 	0
i want to make reservations at a restaurant for tonight at 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O O O B-date O B-time I-time 	1
6 people and the restaurant is cascal	O	INFORM	B-num_people O O O O O B-restaurant_name 	0
reserve for 8.30 pm	O	AFFIRM	O O B-time I-time 	0
thanks	O	THANK_YOU	O 	0
i need to make a restaurant reservation	RESERVE_RESTAURANT	O	O O O O O O O 	1
pompei	O	INFORM	B-restaurant_name 	0
yes that is correct	O	AFFIRM	O O O O 	0
next monday	O	INFORM	B-date I-date 	0
3 people	O	INFORM	B-num_people O 	0
make it for 7.30 pm	O	INFORM	O O O B-time I-time 	0
yep	O	AFFIRM	O 	0
thanks	O	THANK_YOU	O 	0
i want to reserve a 7.30 pm dinner reservation	RESERVE_RESTAURANT	O	O O O O O B-time I-time O O 	1
tonight and 6 people	O	INFORM	B-date O B-num_people O 	0
ephesus	O	INFORM	B-restaurant_name 	0
no	O	NEGATE	O 	0
bye	O	GOOD_BYE	O 	0
hello , show me expensive restaurants in los altos	FIND_RESTAURANT	GREETING	O O O O B-price_range O O B-location I-location 	1
yes	O	AFFIRM	O 	0
show me los altos grill	O	AFFIRM	O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
can you find me a restaurant in kirkland	FIND_RESTAURANT	O	O O O O O O O B-location 	1
vietnamese	O	INFORM	B-category 	0
yes	O	AFFIRM	O 	0
cascal	O	AFFIRM	B-restaurant_name 	0
hi i want to book a table	RESERVE_RESTAURANT	GREETING	O O O O O O O 	1
7.30 pm 5 people	O	INFORM	B-time I-time B-num_people O 	0
amber india	O	INFORM	B-restaurant_name I-restaurant_name 	0
friday	O	INFORM	B-date 	0
i dont agree	O	NEGATE	O O O 	0
thanks	O	THANK_YOU	O 	0
i ' d like to make a reservation for next monday	RESERVE_RESTAURANT	O	O O O O O O O O O B-date I-date 	1
party of 2	O	INFORM	O O B-num_people 	0
amber india at whatever time is available	O	INFORM	B-restaurant_name I-restaurant_name O O O O O 	0
okay	O	AFFIRM	O 	0
thanks . bye	O	THANK_YOU+GOOD_BYE	O O O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
the date is wednesday and the restaurant is il fornaio	O	INFORM	O O O B-date O O O O B-restaurant_name I-restaurant_name 	0
there will be 2 people for 7.15 pm	O	INFORM	O O O B-num_people O O B-time I-time 	0
that won ' t work	O	NEGATE	O O O O O 	0
how about tomorrow	O	INFORM	O O B-date 	0
that won ' t work	O	NEGATE	O O O O O 	0
thanks anyhow	O	THANK_YOU	O O 	0
hello , i want to reserve a restaurant for 7 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-time I-time 	1
yes	O	AFFIRM	O 	0
sumiko	O	INFORM	B-restaurant_name 	0
6	O	INFORM	B-num_people 	0
tomorrow	O	INFORM	B-date 	0
6.30 pm	O	AFFIRM	B-time I-time 	0
thank you . see you later	O	THANK_YOU+GOOD_BYE	O O O O O O 	0
i need a reservation	RESERVE_RESTAURANT	O	O O O O 	1
2 people , los altos grill	O	INFORM	B-num_people O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
next monday	O	INFORM	B-date I-date 	0
yes	O	AFFIRM	O 	0
6 pm	O	INFORM	B-time I-time 	0
6.15 pm works	O	AFFIRM	B-time I-time O 	0
thanks	O	THANK_YOU	O 	0
i need to make a dinner reservation	RESERVE_RESTAURANT	O	O O O O O O O 	1
5	O	INFORM	B-num_people 	0
cheese cake factory , can you make it for 7.15 pm	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name O O O O O O B-time I-time 	0
yes , that ' s right	O	AFFIRM	O O O O O O 	0
i need a reservation next monday for 4	RESERVE_RESTAURANT	O	O O O O B-date I-date O B-num_people 	1
los altos grill	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name 	0
yep	O	AFFIRM	O 	0
do you have a soul	O	OTHER	O O O O O 	0
i don ' t care what time	O	INFORM	O O O O O O O 	0
none of those times	O	NEGATE	O O O O 	0
thanks	O	THANK_YOU	O 	0
hi , i want to make a reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
next monday at the cheese cake factory , there will be 4 of us	O	INFORM	B-date I-date O O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-num_people O O 	0
7.30 pm	O	INFORM	B-time I-time 	0
no	O	NEGATE	O 	0
how about tomorrow	O	INFORM	O O B-date 	0
no	O	NEGATE	O 	0
try wednesday	O	INFORM	O B-date 	0
yes , wednesday at 7.30 pm at cheese cake factory for 4 people is correct	O	AFFIRM	O O B-date O B-time I-time O B-restaurant_name I-restaurant_name I-restaurant_name O B-num_people O O O 	0
bye then	O	GOOD_BYE	O O 	0
hello , i would like to reserve a restaurant on wednesday at 7 pm for 3 people	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O B-date O B-time I-time O B-num_people O 	1
evvia	O	INFORM	B-restaurant_name 	0
yes , 5 pm will work	O	AFFIRM	O O B-time I-time O O 	0
thanks . bye	O	THANK_YOU+GOOD_BYE	O O O 	0
i would like to make a reservation at a restaurant	RESERVE_RESTAURANT	O	O O O O O O O O O O 	1
sushi boat	O	INFORM	B-restaurant_name I-restaurant_name 	0
3	O	INFORM	B-num_people 	0
wednesday 8 pm	O	INFORM	B-date B-time I-time 	0
no	O	NEGATE	O 	0
what about next monday	O	INFORM	O O B-date I-date 	0
no	O	NEGATE	O 	0
what about tonight	O	INFORM	O O B-date 	0
no	O	NEGATE	O 	0
yes	O	AFFIRM	O 	0
thanks	O	THANK_YOU+GOOD_BYE	O 	0
food kirkland	FIND_RESTAURANT	O	O B-location 	1
zagat rated	O	INFORM	B-rating I-rating 	0
sakoon	O	AFFIRM	B-restaurant_name 	0
hi i would like to make a reservation at a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O 	1
5 people and it ' s for tomorrow night at 8 pm	O	INFORM	B-num_people O O O O O O B-date O O B-time I-time 	0
didn ' t catch that	O	CANT_UNDERSTAND	O O O O O 	0
the restaurant is pompei	O	INFORM	O O O B-restaurant_name 	0
no that won ' t work	O	NEGATE	O O O O O O 	0
ok book it	O	AFFIRM	O O O 	0
goodbye	O	GOOD_BYE	O 	0
could you find me a moderately priced restaurant in middletown	FIND_RESTAURANT	O	O O O O O B-price_range I-price_range O O B-location 	1
yes , that ' s right	O	AFFIRM	O O O O O O 	0
i ' d like to see sakoon	O	AFFIRM	O O O O O O B-restaurant_name 	0
can you make dinner reservations for 5 people tonight at 8 pm	RESERVE_RESTAURANT	O	O O O O O O B-num_people O B-date O B-time I-time 	1
the place is called cetrella	O	INFORM	O O O O B-restaurant_name 	0
i can ' t do those times	O	NEGATE	O O O O O O O 	0
i can ' t do those either	O	NEGATE	O O O O O O O 	0
how about friday	O	INFORM	O O B-date 	0
yes , those details are correct	O	AFFIRM	O O O O O O 	0
okay , thanks . bye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
i want to make a reservation at a restaurant	RESERVE_RESTAURANT	O	O O O O O O O O O 	1
there will be 4 people in the party	O	INFORM	O O O B-num_people O O O O 	0
we would like to be seated at 6 pm	O	INFORM	O O O O O O O B-time I-time 	0
the name of the restaurant is sumiko	O	INFORM	O O O O O O B-restaurant_name 	0
we ' d like the reservation for friday	O	INFORM	O O O O O O O B-date 	0
5 pm would be acceptable	O	AFFIRM	B-time I-time O O O 	0
i didn ' t understand that	O	CANT_UNDERSTAND	O O O O O O 	0
thank you	O	THANK_YOU	O O 	0
can you make me a restaurant reservation for tonight at 7 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-date O B-time I-time 	1
4 people at evvia	O	INFORM	B-num_people O O B-restaurant_name 	0
yes 5 pm is ok	O	AFFIRM	O B-time I-time O O 	0
thanks	O	THANK_YOU	O 	0
good afternoon , can you make a restaurant reservation for me	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O 	1
it will be for 2	O	INFORM	O O O O B-num_people 	0
i want it for sakoon	O	INFORM	O O O O B-restaurant_name 	0
yes , the restaurant is sakoon	O	AFFIRM	O O O O O B-restaurant_name 	0
any time on friday is good	O	INFORM	O O O B-date O O 	0
7.30 pm would be good for me	O	AFFIRM	B-time I-time O O O O O 	0
that is perfect , thank you . bye	O	THANK_YOU+GOOD_BYE	O O O O O O O O 	0
where should i eat	FIND_RESTAURANT	O	O O O O 	1
something mediterranean in orlando	O	INFORM	O B-category O B-location 	0
let ' s do amarin	O	AFFIRM	O O O O B-restaurant_name 	0
hi , i want to book a reservation for 5 people on wednesday at 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-num_people O O B-date O B-time I-time 	1
los altos grill	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name 	0
yes	O	AFFIRM	O 	0
okay , bye	O	GOOD_BYE	O O O 	0
i want to make a restaurant reservation for 7.30 pm tonight	RESERVE_RESTAURANT	O	O O O O O O O O B-time I-time B-date 	1
sushi boat for 6 people	O	INFORM	B-restaurant_name I-restaurant_name O B-num_people O 	0
no	O	NEGATE	O 	0
thanks and goodbye	O	THANK_YOU+GOOD_BYE	O O O 	0
hello . i want to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
i need it for 6 pm and a table for 4	O	INFORM	O O O O B-time I-time O O O O B-num_people 	0
cheese cake factory	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name 	0
i didn ' t understand	O	CANT_UNDERSTAND	O O O O O 	0
friday	O	INFORM	B-date 	0
let ' s do 6.15 pm	O	AFFIRM	O O O O B-time I-time 	0
thanks and goodbye	O	THANK_YOU+GOOD_BYE	O O O 	0
hello i would like to reserve a table	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
los altos grill for 5 people at 8 pm please	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name O B-num_people O O B-time I-time O 	0
tomorrow	O	INFORM	B-date 	0
yes	O	AFFIRM	O 	0
that is correct	O	AFFIRM	O O O 	0
thank you very much ! talk to you later . bye	O	THANK_YOU+GOOD_BYE	O O O O O O O O O O O 	0
hello , please reserve a restaurant reservation for 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O B-time I-time 	1
next monday	O	INFORM	B-date I-date 	0
4 total	O	INFORM	B-num_people O 	0
los altos grill	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name 	0
that is correct	O	AFFIRM	O O O 	0
bye	O	GOOD_BYE	O 	0
i would like to reserve a table at a restaurant	RESERVE_RESTAURANT	O	O O O O O O O O O O 	1
the number of people is 3	O	INFORM	O O O O O B-num_people 	0
the date is tonight at 7.15 pm and the name of the restaurant is pompei	O	INFORM	O O O B-date O B-time I-time O O O O O O O B-restaurant_name 	0
correct	O	AFFIRM	O 	0
6 pm is fine	O	AFFIRM	B-time I-time O O 	0
goodbye	O	GOOD_BYE	O 	0
please find a restaurant for me	FIND_RESTAURANT	O	O O O O O O 	1
i would prefer mediterranean	O	INFORM	O O O B-category 	0
i ' m sorry i do not understand	O	CANT_UNDERSTAND	O O O O O O O O 	0
i don ' t care what the rating is	O	INFORM	O O O O O O O O O 	0
yes , i don ' t care what the rating is	O	INFORM	O O O O O O O O O O O 	0
i will choose cetrella	O	AFFIRM	O O O B-restaurant_name 	0
hello , can you find me a restaurant in yorktown heights	FIND_RESTAURANT	GREETING	O O O O O O O O O B-location I-location 	1
i ' d like zagat rated restaurants	O	INFORM	O O O O B-rating I-rating O 	0
how about something else	O	NEGATE	O O O O 	0
how about an expensive chinese restaurant	O	INFORM	O O O B-price_range B-category O 	0
yes	O	AFFIRM	O 	0
i ' ll go with pompei	O	AFFIRM	O O O O O B-restaurant_name 	0
hi i need to find a restaurant	FIND_RESTAURANT	GREETING	O O O O O O O 	1
i ' m in kirkland	O	INFORM	O O O O B-location 	0
could you repeat that	O	CANT_UNDERSTAND	O O O O 	0
i ' d like taiwanese	O	INFORM	O O O O B-category 	0
i dont want to eat there . could you find something inexpensive with good ratings	O	NEGATE+INFORM	O O O O O O O O O O O B-price_range O B-rating O 	0
no	O	NEGATE	O 	0
what about in middletown	O	INFORM	O O O B-location 	0
evvia is where i want to go	O	AFFIRM	B-restaurant_name O O O O O O 	0
i ' d like a reservation for tomorrow at 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O B-date O B-time I-time 	1
what is the weather in san francisco	O	OTHER	O O O O O O O 	0
there are 4 of us	O	INFORM	O O B-num_people O O 	0
the restaurant is ephesus	O	INFORM	O O O B-restaurant_name 	0
yes	O	AFFIRM	O 	0
none	O	NEGATE	O 	0
thanks , see ya	O	THANK_YOU+GOOD_BYE	O O O O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
how old are you	O	OTHER	O O O O 	0
there are 4 people	O	INFORM	O O B-num_people O 	0
yes , 4 people	O	AFFIRM	O O B-num_people O 	0
it is tomorrow at ephesus	O	INFORM	O O B-date O B-restaurant_name 	0
at 8 pm	O	INFORM	O B-time I-time 	0
no	O	NEGATE	O 	0
make the reservations	O	INFORM	O O O 	0
yes , reserve it	O	AFFIRM	O O O O 	0
no	O	NEGATE	O 	0
thanks	O	THANK_YOU	O 	0
i want to reserve a restaurant and the date is on wednesday for 3 people	RESERVE_RESTAURANT	O	O O O O O O O O O O O B-date O B-num_people O 	1
it ' s for the oren hummus and i ' m fine with any time really	O	INFORM	O O O O O B-restaurant_name I-restaurant_name O O O O O O O O O 	0
awesome	O	AFFIRM	O 	0
thank you very much	O	THANK_YOU	O O O O 	0
hi , can you book me a table	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
at 8 pm	O	INFORM	O B-time I-time 	0
friday at amber india	O	INFORM	B-date O B-restaurant_name I-restaurant_name 	0
6 people	O	INFORM	B-num_people O 	0
yes , 8 pm reservation for 6 at amber india on friday	O	AFFIRM	O O B-time I-time O O B-num_people O B-restaurant_name I-restaurant_name O B-date 	0
thanks	O	THANK_YOU	O 	0
reserve a restaurant	RESERVE_RESTAURANT	O	O O O 	1
8 pm for oren hummus	O	INFORM	B-time I-time O B-restaurant_name I-restaurant_name 	0
for friday with 2 people	O	INFORM	O B-date O B-num_people O 	0
reserve friday at 8 pm for 2 at oren hummus	O	AFFIRM	O B-date O B-time I-time O B-num_people O B-restaurant_name I-restaurant_name 	0
goodbye	O	GOOD_BYE	O 	0
hello , find restaurant in orlando	FIND_RESTAURANT	GREETING	O O O O O B-location 	1
taiwanese	O	INFORM	B-category 	0
cascal	O	AFFIRM	B-restaurant_name 	0
hello , please find a restaurant in kirkland that is expensive	FIND_RESTAURANT	GREETING	O O O O O O O B-location O O B-price_range 	1
los altos grill , please	O	AFFIRM	B-restaurant_name I-restaurant_name I-restaurant_name O O 	0
i want an 8 pm restaurant reservation	RESERVE_RESTAURANT	O	O O O B-time I-time O O 	1
yep , at 8 pm	O	AFFIRM	O O O B-time I-time 	0
tomorrow	O	INFORM	B-date 	0
there will be 6 of us	O	INFORM	O O O B-num_people O O 	0
yep , 6 people	O	AFFIRM	O O B-num_people O 	0
at evvia please	O	INFORM	O B-restaurant_name O 	0
yep , tomorrow night at 8 pm for 6 people at evvia	O	AFFIRM	O O B-date O O B-time I-time O B-num_people O O B-restaurant_name 	0
thank you	O	THANK_YOU	O O 	0
hi , i want to make a reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
2 people , please	O	INFORM	B-num_people O O O 	0
yes , that is correct	O	AFFIRM	O O O O O 	0
i ' d like a reservation for next monday at sakoon at 6 pm	O	INFORM	O O O O O O O B-date I-date O B-restaurant_name O B-time I-time 	0
no	O	NEGATE	O 	0
thanks , bye	O	THANK_YOU+GOOD_BYE	O O O 	0
hi . i need to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
5	O	INFORM	B-num_people 	0
friday at sumiko	O	INFORM	B-date O B-restaurant_name 	0
7 pm	O	INFORM	B-time I-time 	0
okay . 7.30 pm	O	AFFIRM	O O B-time I-time 	0
bye	O	GOOD_BYE	O 	0
get me a restaurant reservation	RESERVE_RESTAURANT	O	O O O O O 	1
cetrella please	O	INFORM	B-restaurant_name O 	0
8 pm for 4 people	O	INFORM	B-time I-time O B-num_people O 	0
yep	O	AFFIRM	O 	0
tomorrow	O	INFORM	B-date 	0
that ' s not going to work	O	NEGATE	O O O O O O O 	0
oh well , later . bye	O	GOOD_BYE	O O O O O O 	0
find a restaurant	FIND_RESTAURANT	O	O O O 	1
redmond	O	INFORM	B-location 	0
i don ' t care	O	INFORM	O O O O O 	0
i choose evvia	O	AFFIRM	O O B-restaurant_name 	0
hi i want to find a place to eat	FIND_RESTAURANT	GREETING	O O O O O O O O O 	1
french	O	INFORM	B-category 	0
inexpensive food in madison with good ratings	O	INFORM	B-price_range O O B-location O B-rating O 	0
cascal	O	AFFIRM	B-restaurant_name 	0
hi ! i want to make a restaurant reservation for 6 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O B-time I-time 	1
i want it for tonight at cetrella	O	INFORM	O O O O B-date O B-restaurant_name 	0
correct	O	AFFIRM	O 	0
for 2 people please	O	INFORM	O B-num_people O O 	0
yes , that is right	O	AFFIRM	O O O O O 	0
bye	O	GOOD_BYE	O 	0
hey , find me a restaurant	FIND_RESTAURANT	GREETING	O O O O O O 	1
i want expensive italian food	O	INFORM	O O B-price_range B-category O 	0
sakoon	O	AFFIRM	B-restaurant_name 	0
hi , i ' d like to make a reservation at a restaurant for 8 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O O O B-time I-time 	1
" tomorrow "	O	INFORM	O B-date O 	0
" reservation for 2 at ephesus , please . "	O	INFORM	O O O B-num_people O B-restaurant_name O O O O 	0
" yes , that ' s correct . "	O	AFFIRM	O O O O O O O O O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
the date is for wednesday , for 3 people at cetrella	O	INFORM	O O O O B-date O O B-num_people O O B-restaurant_name 	0
for 7 pm	O	INFORM	O B-time I-time 	0
yes 7 pm	O	AFFIRM	O B-time I-time 	0
5 pm is fine	O	AFFIRM	B-time I-time O O 	0
don ' t know what intent _ name is reserve _ restaurant means	O	INFORM	O O O O O O O O O O O O O 	0
thank you	O	THANK_YOU	O O 	0
make a reservation	RESERVE_RESTAURANT	O	O O O 	1
tomorrow , for 2 people	O	INFORM	B-date O O B-num_people O 	0
amarin at 7.15 pm	O	INFORM	B-restaurant_name O B-time I-time 	0
yes	O	AFFIRM	O 	0
thanks , bye	O	THANK_YOU+GOOD_BYE	O O O 	0
hi , i want to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
cascal	O	INFORM	B-restaurant_name 	0
make it for tonight at 7.15 pm for 4	O	INFORM	O O O B-date O B-time I-time O B-num_people 	0
yes , that ' s correct	O	AFFIRM	O O O O O O 	0
bye	O	GOOD_BYE	O 	0
hello , i would like to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O 	1
8 pm	O	INFORM	B-time I-time 	0
2 people , friday	O	INFORM	B-num_people O O B-date 	0
sushi boat	O	INFORM	B-restaurant_name I-restaurant_name 	0
yes	O	AFFIRM	O 	0
bye	O	GOOD_BYE	O 	0
i want to reserve restaurant	RESERVE_RESTAURANT	O	O O O O O 	1
on wednesday for 4 people	O	INFORM	O B-date O B-num_people O 	0
yes	O	AFFIRM	O 	0
il fornaio	O	INFORM	B-restaurant_name I-restaurant_name 	0
yes	O	AFFIRM	O 	0
7.15 pm	O	INFORM	B-time I-time 	0
no , it won ' t work	O	NEGATE	O O O O O O O 	0
thank you	O	THANK_YOU	O O 	0
i would like to reserve a restaurant	RESERVE_RESTAURANT	O	O O O O O O O 	1
6 pm sounds good	O	INFORM	B-time I-time O O 	0
this wednesday and 2 people	O	INFORM	O B-date O B-num_people O 	0
i would like it to be at pompei	O	INFORM	O O O O O O O B-restaurant_name 	0
yes	O	AFFIRM	O 	0
thank you	O	THANK_YOU	O O 	0
hey , i need to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
sakoon for 6 people	O	INFORM	B-restaurant_name O B-num_people O 	0
6 pm	O	INFORM	B-time I-time 	0
tomorrow	O	INFORM	B-date 	0
ok , book that for 8.30 pm	O	AFFIRM	O O O O O B-time I-time 	0
bye	O	GOOD_BYE	O 	0
hi , can you book a table for me	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
oren hummus	O	INFORM	B-restaurant_name I-restaurant_name 	0
i do not understand	O	CANT_UNDERSTAND	O O O O 	0
8 pm and 6	O	INFORM	B-time I-time O B-num_people 	0
yes	O	AFFIRM	O 	0
i do not understand	O	CANT_UNDERSTAND	O O O O 	0
wednesday	O	INFORM	B-date 	0
nope	O	NEGATE	O 	0
no	O	NEGATE	O 	0
change date to tomorrow	O	INFORM	O O O B-date 	0
yes	O	AFFIRM	O 	0
thanks	O	THANK_YOU	O 	0
find an expensive restaurant in kirkland	FIND_RESTAURANT	O	O O B-price_range O O B-location 	1
acorn	O	AFFIRM	B-restaurant_name 	0
i ' d like to make a reservation	RESERVE_RESTAURANT	O	O O O O O O O O 	1
party of 2 on friday for cheese cake factory	O	INFORM	O O B-num_people O B-date O B-restaurant_name I-restaurant_name I-restaurant_name 	0
7.15 pm	O	INFORM	B-time I-time 	0
ok 8 pm	O	AFFIRM	O B-time I-time 	0
thanks	O	THANK_YOU	O 	0
hi , could i please make a reservation for 6 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-time I-time 	1
it would be for friday at the cheese cake factory for 4 people	O	INFORM	O O O O B-date O O B-restaurant_name I-restaurant_name I-restaurant_name O B-num_people O 	0
6.30 pm will work	O	AFFIRM	B-time I-time O O 	0
goodbye	O	GOOD_BYE	O 	0
hello , please find restaurant	FIND_RESTAURANT	GREETING	O O O O O 	1
in los altos	O	INFORM	O B-location I-location 	0
chinese , breakfast , expensive , zagat rated	O	INFORM	B-category O B-meal O B-price_range O B-rating I-rating 	0
cetrella	O	AFFIRM	B-restaurant_name 	0
i want to make a restaurant reservation for 8 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-time I-time 	1
yes	O	AFFIRM	O 	0
tomorrow for 3 people at the cheese cake factory	O	INFORM	B-date O B-num_people O O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
yes	O	AFFIRM	O 	0
bye	O	GOOD_BYE	O 	0
i want to make a restaurant reservation for 6 people on wednesday at 7.30 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-num_people O O B-date O B-time I-time 	1
the name of the restaurant is sushi boat	O	INFORM	O O O O O O B-restaurant_name I-restaurant_name 	0
no	O	NEGATE	O 	0
is there a reservation available for 6 pm	O	INFORM	O O O O O O B-time I-time 	0
yes , 6 pm	O	AFFIRM	O O B-time I-time 	0
please make a reservation for 7 pm	O	AFFIRM	O O O O O B-time I-time 	0
bye	O	GOOD_BYE	O 	0
can you make a restaurant reservation for 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O B-time I-time 	1
yes	O	AFFIRM	O 	0
make it for tomorrow for 2 at amarin	O	INFORM	O O O B-date O B-num_people O B-restaurant_name 	0
no	O	NEGATE	O 	0
thank you	O	THANK_YOU	O O 	0
i want to reserve a restaurant spot at 8 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-time I-time 	1
tonight at cascal for 6 people	O	INFORM	B-date O B-restaurant_name O B-num_people O 	0
i agree that it is tonight at cascal for 6 people	O	AFFIRM	O O O O O B-date O B-restaurant_name O B-num_people O 	0
thanks	O	THANK_YOU	O 	0
i would like to make a restaurant reservation	RESERVE_RESTAURANT	O	O O O O O O O O 	1
friday for 6 people at evvia	O	INFORM	B-date O B-num_people O O B-restaurant_name 	0
any time	O	INFORM	O O 	0
those times will not work	O	NEGATE	O O O O O 	0
those won ' t work either	O	NEGATE	O O O O O O 	0
try the restaurant sumiko	O	INFORM	O O O B-restaurant_name 	0
those times don ' t work	O	NEGATE	O O O O O O 	0
try the restaurant sakoon	O	INFORM	O O O B-restaurant_name 	0
yes the sakoon restaurant	O	AFFIRM	O O B-restaurant_name O 	0
that ' s good	O	AFFIRM	O O O O 	0
bye	O	GOOD_BYE	O 	0
hi ! i need a reservation for 8 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O B-time I-time 	1
6	O	INFORM	B-num_people 	0
wednesday at cascal	O	INFORM	B-date O B-restaurant_name 	0
no	O	NEGATE	O 	0
yes	O	AFFIRM	O 	0
thank you , goodbye	O	THANK_YOU+GOOD_BYE	O O O O 	0
i want to reserve a table for wednesday at 8 pm	RESERVE_RESTAURANT	O	O O O O O O O B-date O B-time I-time 	1
6	O	INFORM	B-num_people 	0
